step,attention,performance,stress,t,working_memory
146,0.0,0.0,0.6,146,0.0271
147,0.0,0.0,0.6,147,0.0
148,0.0,0.0,0.6,148,0.0052
149,0.0,0.0,0.6,149,0.0
150,0.0,0.0,0.6,150,0.0383
151,0.0,0.0,0.6,151,0.0275
152,0.0,0.0,0.6,152,0.0248
153,0.0,0.0,0.6,153,0.0
154,0.0,0.0,0.6,154,0.0399
155,0.0,0.0,0.6,155,0.06
156,0.0,0.0,0.6,156,0.007
157,0.0,0.0,0.6,157,0.0
158,0.0,0.0,0.6,158,0.0384
159,0.0,0.0,0.6,159,0.0351
160,0.0,0.0,0.6,160,0.0641
161,0.0,0.0,0.6,161,0.0861
162,0.0,0.0,0.6,162,0.0898
163,0.0,0.0,0.6,163,0.0775
164,0.0,0.0,0.6,164,0.0896
165,0.0,0.0,0.6,165,0.0902
166,0.0,0.0,0.6,166,0.0308
167,0.0,0.0,0.6,167,0.0
168,0.0,0.0,0.6,168,0.0359
169,0.0,0.0,0.6,169,0.0532
170,0.0,0.0,0.6,170,0.0124
171,0.0,0.0,0.6,171,0.0
172,0.0,0.0,0.6,172,0.0
173,0.0,0.0,0.6,173,0.0364
174,0.0,0.0,0.6,174,0.0
175,0.0,0.0,0.6,175,0.0
176,0.0,0.0,0.6,176,0.0036
177,0.0,0.0,0.6,177,0.0
178,0.0,0.0,0.6,178,0.0
179,0.0,0.0,0.6,179,0.0
180,0.0,0.0,0.6,180,0.0
181,0.0,0.0,0.6,181,0.0
182,0.0,0.0,0.6,182,0.0011
183,0.0,0.0,0.6,183,0.0083
184,0.0,0.0,0.6,184,0.0259
185,0.0,0.0,0.6,185,0.0581
186,0.0,0.0,0.6,186,0.0568
187,0.0,0.0,0.6,187,0.0511
188,0.0,0.0,0.6,188,0.0
189,0.0,0.0,0.6,189,0.0
190,0.0,0.0,0.6,190,0.0348
191,0.0,0.0,0.6,191,0.0009
192,0.0,0.0,0.6,192,0.0
193,0.0,0.0,0.6,193,0.0
194,0.0,0.0,0.6,194,0.0
195,0.0,0.0,0.6,195,0.0177
196,0.0,0.0,0.6,196,0.0222
197,0.0,0.0,0.6,197,0.0181
198,0.0,0.0,0.6,198,0.0
199,0.0,0.0,0.6,199,0.008
200,0.0,0.0,0.6,200,0.0013
201,0.0,0.0,0.6,201,0.0
202,0.0,0.0,0.6,202,0.0401
203,0.0,0.0,0.6,203,0.0
204,0.0,0.0,0.6,204,0.0015
205,0.0,0.0,0.6,205,0.0
206,0.0,0.0,0.6,206,0.0251
207,0.0,0.0,0.6,207,0.0
208,0.0,0.0,0.6,208,0.0
209,0.0,0.0,0.6,209,0.0
210,0.0,0.0,0.6,210,0.0
211,0.0,0.0,0.6,211,0.013
212,0.0,0.0,0.6,212,0.0274
213,0.0,0.0,0.6,213,0.0
214,0.0,0.0,0.6,214,0.0
215,0.0,0.0,0.6,215,0.027
216,0.0,0.0,0.6,216,0.0087
217,0.0,0.0,0.6,217,0.051
218,0.0,0.0,0.6,218,0.0
219,0.0,0.0,0.6,219,0.0348
220,0.0,0.0,0.6,220,0.051
221,0.0,0.0,0.6,221,0.0794
222,0.0,0.0,0.6,222,0.0927
223,0.0,0.0,0.6,223,0.0669
224,0.0,0.0,0.6,224,0.0406
225,0.0,0.0,0.6,225,0.0291
226,0.0,0.0,0.6,226,0.0419
227,0.0,0.0,0.6,227,0.001
228,0.0,0.0,0.6,228,0.0144
229,0.0,0.0,0.6,229,0.0108
230,0.0,0.0,0.6,230,0.0
231,0.0,0.0,0.6,231,0.0
232,0.0,0.0,0.6,232,0.0
233,0.0,0.0,0.6,233,0.0
234,0.0,0.0,0.6,234,0.0194
235,0.0,0.0,0.6,235,0.0
236,0.0,0.0,0.6,236,0.0043
237,0.0,0.0,0.6,237,0.0
238,0.0,0.0,0.6,238,0.0405
239,0.0,0.0,0.6,239,0.0438
240,0.0,0.0,0.6,240,0.0529
241,0.0,0.0,0.6,241,0.0
242,0.0,0.0,0.6,242,0.0253
243,0.0,0.0,0.6,243,0.0606
244,0.0,0.0,0.6,244,0.0611
245,0.0,0.0,0.6,245,0.047
246,0.0,0.0,0.6,246,0.0001
247,0.0,0.0,0.6,247,0.0
248,0.0,0.0,0.6,248,0.0179
249,0.0,0.0,0.6,249,0.0
250,0.0,0.0,0.6,250,0.0
251,0.0,0.0,0.6,251,0.0
252,0.0,0.0,0.6,252,0.0064
253,0.0,0.0,0.6,253,0.0181
254,0.0,0.0,0.6,254,0.0071
255,0.0,0.0,0.6,255,0.0
256,0.0,0.0,0.6,256,0.0
257,0.0,0.0,0.6,257,0.0
258,0.0,0.0,0.6,258,0.0332
259,0.0,0.0,0.6,259,0.0
260,0.0,0.0,0.6,260,0.0039
261,0.0,0.0,0.6,261,0.0
262,0.0,0.0,0.6,262,0.0281
263,0.0,0.0,0.6,263,0.0423
264,0.0,0.0,0.6,264,0.0
265,0.0,0.0,0.6,265,0.0
266,0.0,0.0,0.6,266,0.0169
267,0.0,0.0,0.6,267,0.0
268,0.0,0.0,0.6,268,0.0267
269,0.0,0.0,0.6,269,0.0267
270,0.0,0.0,0.6,270,0.0
271,0.0,0.0,0.6,271,0.0465
272,0.0,0.0,0.6,272,0.0
273,0.0,0.0,0.6,273,0.0177
274,0.0,0.0,0.6,274,0.0003
275,0.0,0.0,0.6,275,0.0
276,0.0,0.0,0.6,276,0.0127
277,0.0,0.0,0.6,277,0.0349
278,0.0,0.0,0.6,278,0.031
279,0.0,0.0,0.6,279,0.067
280,0.0,0.0,0.6,280,0.0249
281,0.0,0.0,0.6,281,0.002
282,0.0,0.0,0.6,282,0.0
283,0.0,0.0,0.6,283,0.0322
284,0.0,0.0,0.6,284,0.0654
285,0.0,0.0,0.6,285,0.0721
286,0.0,0.0,0.6,286,0.0368
287,0.0,0.0,0.6,287,0.0686
288,0.0,0.0,0.6,288,0.072
289,0.0,0.0,0.6,289,0.0416
290,0.0,0.0,0.6,290,0.048
291,0.0,0.0,0.6,291,0.064
292,0.0,0.0,0.6,292,0.0
293,0.0,0.0,0.6,293,0.0
294,0.0,0.0,0.6,294,0.011
295,0.0,0.0,0.6,295,0.0
296,0.0,0.0,0.6,296,0.0
297,0.0,0.0,0.6,297,0.0298
298,0.0,0.0,0.6,298,0.0559
299,0.0,0.0,0.6,299,0.0112
300,0.0,0.0,0.6,300,0.0515
301,0.0,0.0,0.6,301,0.0529
302,0.0,0.0,0.6,302,0.0576
303,0.0,0.0,0.6,303,0.0491
304,0.0,0.0,0.6,304,0.0588
305,0.0,0.0,0.6,305,0.0074
306,0.0,0.0,0.6,306,0.0
307,0.0,0.0,0.6,307,0.0
308,0.0,0.0,0.6,308,0.0
309,0.0,0.0,0.6,309,0.0
310,0.0,0.0,0.6,310,0.0
311,0.0,0.0,0.6,311,0.0
312,0.0,0.0,0.6,312,0.0
313,0.0,0.0,0.6,313,0.0262
314,0.0,0.0,0.6,314,0.0
315,0.0,0.0,0.6,315,0.0225
316,0.0,0.0,0.6,316,0.0159
317,0.0,0.0,0.6,317,0.0
318,0.0,0.0,0.6,318,0.0
319,0.0,0.0,0.6,319,0.0
320,0.0,0.0,0.6,320,0.0
321,0.0,0.0,0.6,321,0.0053
322,0.0,0.0,0.6,322,0.0
323,0.0,0.0,0.6,323,0.0
324,0.0,0.0,0.6,324,0.0074
325,0.0,0.0,0.6,325,0.0
326,0.0,0.0,0.6,326,0.0
327,0.0,0.0,0.6,327,0.0
328,0.0,0.0,0.6,328,0.0
329,0.0,0.0,0.6,329,0.0129
330,0.0,0.0,0.6,330,0.0
331,0.0,0.0,0.6,331,0.0
332,0.0,0.0,0.6,332,0.0
333,0.0,0.0,0.6,333,0.0106
334,0.0,0.0,0.6,334,0.0
335,0.0,0.0,0.6,335,0.0
336,0.0,0.0,0.6,336,0.036
337,0.0,0.0,0.6,337,0.0021
338,0.0,0.0,0.6,338,0.0123
339,0.0,0.0,0.6,339,0.0521
340,0.0,0.0,0.6,340,0.0024
341,0.0,0.0,0.6,341,0.0
342,0.0,0.0,0.6,342,0.0
343,0.0,0.0,0.6,343,0.0
344,0.0,0.0,0.6,344,0.0
345,0.0,0.0,0.6,345,0.0207
346,0.0,0.0,0.6,346,0.0078
347,0.0,0.0,0.6,347,0.0471
348,0.0,0.0,0.6,348,0.0408
349,0.0,0.0,0.6,349,0.0678
350,0.0,0.0,0.6,350,0.0451
351,0.0,0.0,0.6,351,0.0679
352,0.0,0.0,0.6,352,0.0
353,0.0,0.0,0.6,353,0.0
354,0.0,0.0,0.6,354,0.0069
355,0.0,0.0,0.6,355,0.0
356,0.0,0.0,0.6,356,0.02
357,0.0,0.0,0.6,357,0.012
358,0.0,0.0,0.6,358,0.0
359,0.0,0.0,0.6,359,0.0
360,0.0,0.0,0.6,360,0.0
361,0.0,0.0,0.6,361,0.0462
362,0.0,0.0,0.6,362,0.0352
363,0.0,0.0,0.6,363,0.0711
364,0.0,0.0,0.6,364,0.0196
365,0.0,0.0,0.6,365,0.0374
366,0.0,0.0,0.6,366,0.0376
367,0.0,0.0,0.6,367,0.0
368,0.0,0.0,0.6,368,0.0135
369,0.0,0.0,0.6,369,0.0
370,0.0,0.0,0.6,370,0.0
371,0.0,0.0,0.6,371,0.0358
372,0.0,0.0,0.6,372,0.0408
373,0.0,0.0,0.6,373,0.069
374,0.0,0.0,0.6,374,0.0464
375,0.0,0.0,0.6,375,0.0093
376,0.0,0.0,0.6,376,0.0526
377,0.0,0.0,0.6,377,0.033
378,0.0,0.0,0.6,378,0.0356
379,0.0,0.0,0.6,379,0.0127
380,0.0,0.0,0.6,380,0.0
381,0.0,0.0,0.6,381,0.0125
382,0.0,0.0,0.6,382,0.0
383,0.0,0.0,0.6,383,0.0428
384,0.0,0.0,0.6,384,0.0455
385,0.0,0.0,0.6,385,0.0746
386,0.0,0.0,0.6,386,0.0187
387,0.0,0.0,0.6,387,0.0163
388,0.0,0.0,0.6,388,0.0
389,0.0,0.0,0.6,389,0.0413
390,0.0,0.0,0.6,390,0.0
391,0.0,0.0,0.6,391,0.0
392,0.0,0.0,0.6,392,0.0009
393,0.0,0.0,0.6,393,0.034
394,0.0,0.0,0.6,394,0.0
395,0.0,0.0,0.6,395,0.0
396,0.0,0.0,0.6,396,0.0008
397,0.0,0.0,0.6,397,0.0369
398,0.0,0.0,0.6,398,0.0511
399,0.0,0.0,0.6,399,0.0741
400,0.0,0.0,0.6,400,0.0765
401,0.0,0.0,0.6,401,0.0258
402,0.0,0.0,0.6,402,0.0654
403,0.0,0.0,0.6,403,0.0041
404,0.0,0.0,0.6,404,0.0
405,0.0,0.0,0.6,405,0.0043
406,0.0,0.0,0.6,406,0.0
407,0.0,0.0,0.6,407,0.0197
408,0.0,0.0,0.6,408,0.0
409,0.0,0.0,0.6,409,0.0
410,0.0,0.0,0.6,410,0.0205
411,0.0,0.0,0.6,411,0.0009
412,0.0,0.0,0.6,412,0.0326
413,0.0,0.0,0.6,413,0.0191
414,0.0,0.0,0.6,414,0.0117
415,0.0,0.0,0.6,415,0.044
416,0.0,0.0,0.6,416,0.0204
417,0.0,0.0,0.6,417,0.0079
418,0.0,0.0,0.6,418,0.0
419,0.0,0.0,0.6,419,0.0
420,0.0,0.0,0.6,420,0.0469
421,0.0,0.0,0.6,421,0.0474
422,0.0,0.0,0.6,422,0.0636
423,0.0,0.0,0.6,423,0.0741
424,0.0,0.0,0.6,424,0.0261
425,0.0,0.0,0.6,425,0.0416
426,0.0,0.0,0.6,426,0.0
427,0.0,0.0,0.6,427,0.0131
428,0.0,0.0,0.6,428,0.0576
429,0.0,0.0,0.6,429,0.028
430,0.0,0.0,0.6,430,0.0302
431,0.0,0.0,0.6,431,0.0125
432,0.0,0.0,0.6,432,0.0478
433,0.0,0.0,0.6,433,0.0583
434,0.0,0.0,0.6,434,0.0225
435,0.0,0.0,0.6,435,0.0166
436,0.0,0.0,0.6,436,0.0392
437,0.0,0.0,0.6,437,0.0
438,0.0,0.0,0.6,438,0.012
439,0.0,0.0,0.6,439,0.0485
440,0.0,0.0,0.6,440,0.0252
441,0.0,0.0,0.6,441,0.0
442,0.0,0.0,0.6,442,0.0305
443,0.0,0.0,0.6,443,0.036
444,0.0,0.0,0.6,444,0.0158
445,0.0,0.0,0.6,445,0.0182
446,0.0,0.0,0.6,446,0.0034
447,0.0,0.0,0.6,447,0.0366
448,0.0,0.0,0.6,448,0.0104
449,0.0,0.0,0.6,449,0.0
450,0.0,0.0,0.6,450,0.0075
451,0.0,0.0,0.6,451,0.0
452,0.0,0.0,0.6,452,0.0158
453,0.0,0.0,0.6,453,0.0161
454,0.0,0.0,0.6,454,0.0341
455,0.0,0.0,0.6,455,0.0311
456,0.0,0.0,0.6,456,0.0591
457,0.0,0.0,0.6,457,0.0653
458,0.0,0.0,0.6,458,0.0244
459,0.0,0.0,0.6,459,0.0267
460,0.0,0.0,0.6,460,0.0381
461,0.0,0.0,0.6,461,0.0567
462,0.0,0.0,0.6,462,0.0744
463,0.0,0.0,0.6,463,0.0255
464,0.0,0.0,0.6,464,0.0233
465,0.0,0.0,0.6,465,0.0
466,0.0,0.0,0.6,466,0.0247
467,0.0,0.0,0.6,467,0.0
468,0.0,0.0,0.6,468,0.0471
469,0.0,0.0,0.6,469,0.0696
470,0.0,0.0,0.6,470,0.0175
471,0.0,0.0,0.6,471,0.0087
472,0.0,0.0,0.6,472,0.0299
473,0.0,0.0,0.6,473,0.0
474,0.0,0.0,0.6,474,0.0
475,0.0,0.0,0.6,475,0.036
476,0.0,0.0,0.6,476,0.0696
477,0.0,0.0,0.6,477,0.0722
478,0.0,0.0,0.6,478,0.0724
479,0.0,0.0,0.6,479,0.0471
480,0.0,0.0,0.6,480,0.0455
481,0.0,0.0,0.6,481,0.0358
482,0.0,0.0,0.6,482,0.0655
483,0.0,0.0,0.6,483,0.0127
484,0.0,0.0,0.6,484,0.046
485,0.0,0.0,0.6,485,0.0691
486,0.0,0.0,0.6,486,0.0
487,0.0,0.0,0.6,487,0.0409
488,0.0,0.0,0.6,488,0.0154
489,0.0,0.0,0.6,489,0.0539
490,0.0,0.0,0.6,490,0.0316
491,0.0,0.0,0.6,491,0.0577
492,0.0,0.0,0.6,492,0.03
493,0.0,0.0,0.6,493,0.0423
494,0.0,0.0,0.6,494,0.0173
495,0.0,0.0,0.6,495,0.0
496,0.0,0.0,0.6,496,0.0
497,0.0,0.0,0.6,497,0.0
498,0.0,0.0,0.6,498,0.0
499,0.0,0.0,0.6,499,0.0
500,0.0,0.0,0.6,500,0.0355
