step,agent_id,attention,destination,emissions_total_g,location,modal_share,mode,performance,stress,t,working_memory
4,agent_5,0.4807,"(1.5772948686793165, 2.2416085415347187)",,"(1.5772948686793165, 2.2416085415347187)",,bike,0.4094,0.2438,4,0.5439
4,agent_6,0.471,"(0.7108753221575054, 3.9503592217940082)",,"(0.7108753221575054, 3.9503592217940082)",,bike,0.3581,0.2626,4,0.4595
4,agent_7,0.4868,"(2.8670404284046356, 1.3266085263078164)",,"(2.8670404284046356, 1.3266085263078164)",,bike,0.3458,0.2694,4,0.4235
4,agent_8,0.4648,"(1.7173107907798228, 4.007482956460165)",,"(1.7173107907798228, 4.007482956460165)",,bike,0.3652,0.2611,4,0.4799
4,agent_9,0.4743,"(2.635374760807083, 4.046692623219024)",,"(2.635374760807083, 4.046692623219024)",,bike,0.3708,0.258,4,0.4795
4,agent_10,0.4733,"(3.846395449569619, 2.563760669320325)",,"(3.846395449569619, 2.563760669320325)",,bike,0.375,0.2527,4,0.4844
4,agent_11,0.493,"(3.333288155365905, 4.450492852684512)",,"(3.333288155365905, 4.450492852684512)",,bike,0.3619,0.2619,4,0.4451
4,agent_12,0.4855,"(1.8726081591124166, 0.1592065337055093)",,"(1.8726081591124166, 0.1592065337055093)",,bike,0.4068,0.24,4,0.5295
4,,,,0.0,,{'bike': 12},,,,,
5,agent_1,0.4764,"(2.0362088183519917, 0.5385011746921953)",,"(2.0362088183519917, 0.5385011746921953)",,bike,0.3336,0.2676,5,0.4052
5,agent_2,0.4609,"(2.6810102001696343, 1.660988492548399)",,"(2.6810102001696343, 1.660988492548399)",,bike,0.3684,0.2475,5,0.4771
5,agent_3,0.4646,"(1.6860832855463777, 1.6689819731447764)",,"(1.6860832855463777, 1.6689819731447764)",,bike,0.3359,0.2701,5,0.4244
5,agent_4,0.4571,"(2.1813789670760917, 0.43806749875211437)",,"(2.1813789670760917, 0.43806749875211437)",,bike,0.3434,0.27,5,0.4484
5,agent_5,0.4711,"(1.5772948686793165, 2.2416085415347187)",,"(1.5772948686793165, 2.2416085415347187)",,bike,0.3739,0.2403,5,0.4717
5,agent_6,0.461,"(0.7108753221575054, 3.9503592217940082)",,"(0.7108753221575054, 3.9503592217940082)",,bike,0.3356,0.263,5,0.4203
5,agent_7,0.486,"(2.8670404284046356, 1.3266085263078164)",,"(2.8670404284046356, 1.3266085263078164)",,bike,0.3782,0.2599,5,0.4859
5,agent_8,0.4561,"(1.7173107907798228, 4.007482956460165)",,"(1.7173107907798228, 4.007482956460165)",,bike,0.3705,0.2548,5,0.4937
5,agent_9,0.4709,"(2.635374760807083, 4.046692623219024)",,"(2.635374760807083, 4.046692623219024)",,bike,0.3495,0.2565,5,0.4346
5,agent_10,0.473,"(3.846395449569619, 2.563760669320325)",,"(3.846395449569619, 2.563760669320325)",,bike,0.3869,0.2448,5,0.5029
5,agent_11,0.4927,"(3.333288155365905, 4.450492852684512)",,"(3.333288155365905, 4.450492852684512)",,bike,0.3693,0.2556,5,0.4554
5,agent_12,0.4843,"(1.8726081591124166, 0.1592065337055093)",,"(1.8726081591124166, 0.1592065337055093)",,bike,0.3787,0.2362,5,0.4651
5,,,,0.0,,{'bike': 12},,,,,
6,agent_1,0.4682,"(2.0362088183519917, 0.5385011746921953)",,"(2.0362088183519917, 0.5385011746921953)",,bike,0.3425,0.2656,6,0.4309
6,agent_2,0.4547,"(2.6810102001696343, 1.660988492548399)",,"(2.6810102001696343, 1.660988492548399)",,bike,0.38,0.242,6,0.5034
6,agent_3,0.4641,"(1.6860832855463777, 1.6689819731447764)",,"(1.6860832855463777, 1.6689819731447764)",,bike,0.3538,0.2654,6,0.4596
6,agent_4,0.447,"(2.1813789670760917, 0.43806749875211437)",,"(2.1813789670760917, 0.43806749875211437)",,bike,0.3457,0.2669,6,0.4604
6,agent_5,0.4645,"(1.5772948686793165, 2.2416085415347187)",,"(1.5772948686793165, 2.2416085415347187)",,bike,0.3868,0.2349,6,0.5013
6,agent_6,0.4534,"(0.7108753221575054, 3.9503592217940082)",,"(0.7108753221575054, 3.9503592217940082)",,bike,0.3615,0.2581,6,0.4801
6,agent_7,0.4769,"(2.8670404284046356, 1.3266085263078164)",,"(2.8670404284046356, 1.3266085263078164)",,bike,0.3831,0.2513,6,0.4972
6,agent_8,0.4523,"(1.7173107907798228, 4.007482956460165)",,"(1.7173107907798228, 4.007482956460165)",,bike,0.363,0.2512,6,0.4776
6,agent_9,0.4623,"(2.635374760807083, 4.046692623219024)",,"(2.635374760807083, 4.046692623219024)",,bike,0.3677,0.2517,6,0.4782
6,agent_10,0.4685,"(3.846395449569619, 2.563760669320325)",,"(3.846395449569619, 2.563760669320325)",,bike,0.3874,0.2384,6,0.5021
6,agent_11,0.4844,"(3.333288155365905, 4.450492852684512)",,"(3.333288155365905, 4.450492852684512)",,bike,0.3658,0.2513,6,0.4516
